	Rp_01.1	Rp_02.1	Rp_03.2	Rp_04.1	Rp_05.1	Rp_06.1	Rp_01.6	Rp_02.6	Rp_03.6	Rp_05.4	Rp_05.5	Rp_05.6	Rp_06.6	Rp_01.4	Rp_01.5	Rp_02.4	Rp_02.5	Rp_03.4	Rp_03.5	Rp_04.4	Rp_04.5	Rp_06.4	Rp_06.5	Rp_04.6
ASV_479	0.001789398	0.001661185	0.001408378	0.001584305	0.00122647	0.002033523	0	0	0.000833565	0.001234241	0.001574506	0	0	0.000690211	0.000822278	0.00071355	0	0	0	0.000645504	0.001098147	0	0.001567932	0
ASV_493	0.000767165	0.000626919	0.000822998	0.000479925	0.000336612	0.000279243	0	0.000222916	5.56E-05	0.0004408	0	0.000169362	0	0.00046014	0	0	0.000407775	0	0.000135556	0.000151883	0.000617708	0	0	0.000562667
ASV_499	0.001073031	0.002240133	0.002213165	0.002667656	0.005876147	0.003825077	0	0.003733839	0	0.002468483	0	0	0	0	0.000986734	0	0	0.003971329	0	0.001518834	0	0	0	0.002180335
ASV_528	0.000832969	0.000618181	0.000626302	0.000443134	0.000412751	0.000151134	0	0.000167187	0.000333426	0.00035264	0	0.000296384	0	0.000345105	0	0	0.000339812	0	0.000203335	0.000265796	0.000274537	0	0	0.000422
ASV_544	0.001916483	0.001530804	0.002012175	0.00148176	0.002772875	0.004991979	0.001505684	0.001003121	0.001222562	0.001366482	0.001700466	0.002201711	0.001352514	0.000862763	0.000109637	0.000317133	0.001563137	0	0.000948895	0.000721446	0.001235415	0.00129199	0.00143159	0.001336334
ASV_549	0.002698757	0.001528916	0.001822981	0.00127716	0.002450718	0.004586193	0.00090341	0.000835934	0.000777994	0.001278321	0.001196624	0.00143958	0.001106603	0.001437939	0.000438548	0.0004757	0.002718499	0	0.001287786	0.001101154	0.001853123	0.001130491	0.001567932	0.001969335
ASV_555	0.00042238	0.000181323	0.00038739	0.000935257	0.000233209	0.000308256	0	0	0.000222284	0	0	0	0	0	0.000109637	0	0.000203887	0	0	0	0	0.000322997	0	0
ASV_558	0.00079176	0.000649049	0.000983479	0.00098069	0.000395486	0	0	0.000390103	0.000277855	0.000573041	0	0.000296384	0	0	0	0	0.000407775	0	0	0.000113913	0	0	0	0.000492334
ASV_561	0.002079361	0.001756208	0.00275783	0.002070026	0.003685297	0.002959171	0	0	0.002111698	0.002027682	0	0.000931493	0	0	0	0	6.80E-05	0	0	0.003037667	0	0	0	0.001688001
ASV_565	0.000373284	2.14E-04	0.004456337	0.000576992	0.003365554	0.004485827	0.000526989	0	0.000333426	0.000617121	0	0	0.00147547	0	0	0	0	0	0	0.000721446	0	0	0	0.000422
ASV_574	0.002565058	0.001253253	0.002527713	0.00327836	0.001800185	0.002665177	0	0.001727597	0	0.001586882	0.004030734	0.00287916	0.00209025	0	0.00115119	0	0	0	0	0.001708688	0	0	0	0
ASV_578	0.002190064	0.002066229	0.002817169	0.003336835	0.002550512	0.003104013	0.001355116	0	0.003000834	0.002512563	0	0.001651283	0	0	0.00115119	0	0	0	0	0.001063183	0	0	0	0
ASV_583	0.00058548	0.000865359	0.000438815	0.000871432	0.000577939	0.000218304	0	0.000947392	0.000388997	0.00035264	0	0	0	0	0	0	6.80E-05	0	0	0.000189854	0	0	0	0.000492334
ASV_584	0.000604397	0.000635169	0.000822998	0.000502079	0.000342728	0	0	0.000111458	0.000277855	0.00030856	0	0.000169362	0	0.000172553	0	0	0.000339812	0	0	0.000265796	0	0	0	0.000562667
ASV_587	0.002336384	0.001759593	0.001863696	0.002530553	0.002042256	0.000978808	0	0.001337494	0.002000556	0.000881601	0	0	0	0.000575175	0	0.004439864	0	0.002034095	0	0.001442892	0	0	0	0.000773667
ASV_588	0.00250597	0.001525619	0.00183519	0.001313549	0.002337534	0.003465768	0.000677558	0.001783326	0.001444846	0.001939522	0.001070664	0.001312558	0.000614779	0.001092833	0	0.00071355	0.002582574	0	0.001084452	0.002050425	0.001715854	0	0.001636103	0.001336334
ASV_589	0.000730929	0.000699422	0.000319256	0.000644273	0.000466363	8.39631E-05	0	0.00105885	5.56E-05	0.00035264	0	0	0	0	0	0	0.000339812	0	0	0.000493621	0	0	0	0.000422
ASV_590	0.00215127	0.001310752	0.002131734	0.001992688	0.001890098	0.000932133	0	0.001003121	0.00111142	0.001013841	0	0	0	0.001092833	0	0.002140649	0	0.001840372	0	0.001025213	0	0	0	0.000984667
ASV_606	0.000443705	0.000235374	0.000242119	0.000687672	0.000108831	0.00032588	0	0	0.000166713	0	0	0	0	0	0.000219274	0	0.001019437	0	0	0	0	0	0	0
ASV_618	0.001607356	0.00150762	0.002083104	0.00218274	0.004155315	0.001999399	0	0	0.002056127	0.002336243	0	0.000635109	0	0	0	0	0.000135925	0	0	0.003986938	0	0	0	0.000703334
ASV_621	0.000838829	0.001355932	0.002014969	0.002322497	0.00403865	0.002611755	0	0.003956754	0	0.003041523	0	0	0	0	0.000822278	0	0	0.003390159	0	0.002050425	0	0	0	0.002110001
ASV_624	0.001574557	0.00116838	0.001641495	0.001490706	0.00268175	0.00392225	0.000978695	0.002061971	0.001278133	0.001807282	0.000881723	0.001227877	0.001352514	0.000402623	0	0.0004757	0.002106837	0	0.000610004	0.001025213	0.001166781	0	0.001772445	0.001336334
ASV_626	0.000360607	0.000162154	0.000314755	0.000531969	0.000233209	7.91842E-05	0	0	5.56E-05	0	0	0	0	0	0.000164456	0	0.000203887	0	0	0	0	0.000322997	0	0
